Food Name,Active Time,Total Time,Yield,Ingredients,Steps,Image
shrimp-cannellini-bean-salad,,20 mins,4 servings,"1 1/2 pounds large shrimp, shelled/n1/2 cup olive oil, divided/n2 cloves garlic, minced/n1/2 teaspoon kosher salt, divided/n1 small onion, minced/n1 tablespoon chopped flat-leaf parsley/n1 1/2 tablespoons chopped fresh sage leaves, or 1 1/2 teaspoons dried sage/n1 tablespoon wine vinegar/n1/4 teaspoon freshly ground black pepper/n3 1/3 cups drained and rinsed cannellini beans (two 15-ounce cans)","Step 1: Light the grill or heat the broiler. Thread the shrimp onto four skewers. In a shallow glass dish, combine 1/4 cup of the oil with the garlic and 1/4 teaspoon of the salt. Add the skewers and turn to coat the shrimp. Set aside./nStep 2: In a medium bowl, combine the onion with the remaining 1/4 cup oil and 1/4 teaspoon salt, the parsley, sage, vinegar, and pepper. Gently stir in the beans./nStep 3: Grill or broil the shrimp, turning once, until just done, about 5 minutes in all. Serve the shrimp with the bean salad./nStep 4: Test kitchen tip: We put the shrimp on skewers before grilling so that they don't fall through the grate. If you don't have metal skewers, the disposable wooden ones work just fine. Soak them in water for 10 or 15 minutes before using them so that they don't burn up. Or you could use a grilling basket./nStep 5: The beans and the shrimp require a white with good body and full flavor. Tocai Friulano gives you both, while at the same time contributing a lively acidity that refreshes the palate.",https://www.foodandwine.com/thmb/kdZIArlcpRYjlqZOCshbAYu6Bto=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/201003-xl-shrimp-with-cannellini-bean-salad-2000-c831c3821d614a518ab59572d9ffecf9.jpg
grilled-fava-bean-pods-chile-and-lemon,,15 mins,6,"1 pound very fresh fava beans in the pods, rinsed/n2 tablespoons extra-virgin olive oil/n1 scallion, thinly sliced crosswise/n1/2 teaspoon crushed red pepper or Chinese chile sauce/nKosher salt/nLemon wedges, for serving","Step 1: Light a grill. In a large bowl, toss the fava bean pods with the olive oil. Grill the favas over high heat for about 5 minutes, turning occasionally, until softened and charred in spots. Return the beans to the bowl and toss with the scallion, crushed red pepper and salt. Transfer to a platter and serve with lemon wedges.",https://www.foodandwine.com/thmb/haY6ozyzmwENVDXy_2hhorGFSTY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/200704-r-xl-grilled-fava-bean-pods-with-chile-and-lemon-2000-07af527d1296460c8db444897f6a378a.jpg
turkey-and-black-bean-soup,,,4,"1/4 pound sliced bacon, cut crosswise into 1/4-inch strips/n1 onion, chopped/n1 tablespoon chili powder/n1/2 teaspoon unsweetened cocoa powder/n1/4 teaspoon Tabasco sauce/n2 teaspoons dried oregano/n2 teaspoons salt/n1/4 teaspoon fresh-ground black pepper/n1 3/4 cups canned crushed tomatoes in thick puree (one 15-ounce can)/n1 quart canned low-sodium chicken broth or homemade stock/n1 2/3 cups drained and rinsed canned black beans (one 15-ounce can)/n1 1-pound piece cooked deli turkey, cut into 1/2-by-1/2-by-1/4-inch slices/n10 ounces spinach, stems removed, leaves washed and cut crosswise into 1-inch strips","Step 1: In a large stainless-steel pot, cook the bacon until crisp. Remove with a slotted spoon and drain on paper towels. Pour off all but 1 tablespoon of fat from the pot./nStep 2: Reduce the heat to moderately low. Add the onion to the pot and cook, stirring, until translucent, about 5 minutes. Stir in the chili powder, cocoa, Tabasco sauce, oregano, salt, pepper, tomatoes, and broth. Bring to a boil. Reduce the heat and simmer for 15 minutes./nStep 3: Add the black beans and turkey to the pot. Simmer for 5 minutes. Stir in the spinach and the bacon. Cook until the spinach just wilts, about 1 minute./nStep 4: VariationsUse smoked turkey in place of plain./nStep 5: Substitute 12/3 cups drained and rinsed kidney, pinto, or cannellini beans for the black beans./nStep 6: You need a lusty red wine with plenty of spiciness and fruit flavor to stand up to this powerful soup. That describes Zinfandel to a T, so try one here.",https://www.foodandwine.com/thmb/JE6NYI_FQznHyFBgD3qBLR00C74=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/201305-xl-turkey-and-black-bean-soup-2000-72e5bc85f6844c819507df1fd6f211a4.jpg
white-bean-dip-herbs,,10 mins,3 cups,"1/4 cup plus 2 tablespoons extra-virgin olive oil, divided/n3 garlic cloves, very finely chopped/n1 teaspoon finely chopped sage/n1/2 teaspoon finely chopped rosemary/n2 1/2 (15-ounce) cans cannellini beans, drained/n2 tablespoons water/nKosher salt/nCayenne pepper/nPita chips, for serving","Step 1: In a medium skillet, heat 1/4 cup of the olive oil until shimmering. Add the garlic, sage, and rosemary; cook over moderately high heat, stirring, until fragrant and the garlic is just beginning to brown, about 1 minute. Add the beans and toss to coat./nStep 2: Transfer the cannellini beans to a food processor. Add the water, season with salt and cayenne, and process to a fairly smooth puree. Transfer the dip to a small serving bowl, drizzle the remaining 2 tablespoons of olive oil on top, and serve with pita chips./nStep 3: Drizzling a high-quality olive oil over this dip will add depth and complexity, but stick with a less-expensive supermarket brand when sautéing the garlic and herbs in Step 1./nStep 4: Any canned white beans can be used in place of the cannellini.",https://www.foodandwine.com/thmb/FMHPG8VthtX_tjDRxwooCE2fs08=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/200312-r-xl-white-bean-dip-with-herbs-3edc374e410c47d1b03a941610c0f6c5.jpg
crispy-chickpeas,,30 mins,8,"3 cups vegetable oil (for frying)/n15 ounce cans chickpeas (drained, rinsed and patted dry)/n1 ½ tablespoons ground coriander/n1 tablespoon ground cumin/n1 cup all-purpose flour/nSalt","Step 1: In a large saucepan, heat the oil to 350°. Line a baking sheet with paper towels. In a medium bowl, toss the chickpeas with the coriander and cumin. Add the flour and toss until the chickpeas are coated; transfer to a sieve and tap off the excess flour./nStep 2: Add one-third of the chickpeas at a time to the hot oil and fry, stirring occasionally, until they are browned and crispy, about 8 minutes. Using a slotted spoon, transfer the chickpeas to the paper towels to drain and sprinkle liberally with salt. Let the vegetable oil return to 350° between batches. Let the chickpeas cool, then transfer them to a bowl and serve./nStep 3: The fried chickpeas can kept at room temperature for up to 4 hours.",https://www.foodandwine.com/thmb/KxFVicq5JCwJeJS9cTthvjATUq4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/HD-201002-r-crispy-chickpeas-b40684edd97a49fa9dff6c5c737dc25e.jpg
chivda,,20 mins,,"2 teaspoons ground anardana (dried pomegranate arils)/n1 teaspoon kosher salt, plus more to taste/n1 teaspoon granulated sugar/n¼ teaspoon black salt/n4 cups thin poha (flattened rice flakes) (about 7 ounces)/n3 tablespoons corn oil, peanut oil, or untoasted sesame oil/n.50 cup raw skin-on peanuts (about 2 1/2 ounces)/n.50 cup raw cashews (about 2 1/2 ounces)/n.50 cup unsweetened shaved dried coconut (about 3/4 ounce)/n1 teaspoon black mustard seeds/n1 tablespoon fennel seeds/n1 tablespoon white poppy seeds/n1 tablespoon white sesame seeds/n1 - 4  fresh Indian green chiles or Thai green chiles, to taste, thinly sliced/n12 - 15  fresh curry leaves, to taste/n¼ teaspoon asafoetida (hing) powder/n.50 cup dalia (roasted split chickpeas) (about 1 3/4 ounces)/n.3333 cup black raisins (about 1 3/4 ounces)/n1 teaspoon Kashmiri red chile powder (optional)/n.50 teaspoon ground turmeric","Step 1: Stir together anardana, kosher salt, sugar, and black salt in a small bowl; set masala mixture aside./nStep 2: Place poha in a large (12-inch) heavy-bottomed high-sided skillet; place a large bowl nearby. Cook poha over medium, stirring constantly, until it starts to dry out and crisp but doesn't pick up any color, 4 to 5 minutes. Transfer to large bowl. Wipe out any dust from skillet. Return skillet to heat over medium, and add oil. Add peanuts; cook, stirring constantly, until lightly browned and fragrant, 2 to 3 minutes, reducing heat if peanuts brown too quickly. Remove peanuts using a slotted spoon, and add to poha in bowl. Add cashews to skillet; cook, stirring constantly, until lightly browned, 30 seconds to 1 minute. Transfer to poha mixture in bowl. Add dried coconut to skillet; cook, stirring constantly, until lightly browned, 30 seconds to 1 minute. Transfer to poha mixture in bowl. Add mustard seeds to skillet. (They will foam up and may pop.) Cook, stirring constantly, until fragrant, 30 to 40 seconds. Add fennel seeds, poppy seeds, and sesame seeds to skillet. Cook, stirring constantly, until fragrant, 30 to 40 seconds. Add chiles and curry leaves. (These will crackle, and some seeds will pop out of skillet.) Cook, stirring constantly, until chiles are just softened and leaves are wilted, 30 to 45 seconds. Add asafoetida; cook, stirring constantly, 15 seconds. Add dalia; cook, stirring constantly, 15 seconds. Add raisins; cook, stirring constantly, 15 seconds. Add chile powder (if using) and turmeric; cook, stirring constantly, 20 seconds. Add reserved masala mixture; cook, stirring constantly, 5 seconds. Immediately add chile mixture to poha mixture in bowl; stir until well combined. Season with additional kosher salt to taste./nStep 3: Find anardana, thin poha, asafoetida, dalia, and Kashmiri chile powder at South Asian grocery stores or online at desiclik.com./nStep 4: Store in an airtight container at room temperature up to 1 week.",https://www.foodandwine.com/thmb/Ub_gQr7VF3zBdgp0Sx_zcRG8ZcQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Chivda-FT-RECIPE1121-765723b780864b00b171f18d492a39be.jpg
turkey-and-pinto-bean-chili,20 mins,1 hrs 15 mins,6 to 8,"1/4 cup extra-virgin olive oil/n3 pounds ground turkey/n1 medium onion, cut into 1/2-inch dice/n3 garlic cloves, minced/n1 1/2 tablespoons chile powder/n1 teaspoon ground cumin/n1 teaspoon dried oregano/n3/4 teaspoon chipotle powder/n1 large carrot, cut into 1/4-inch dice/n1 red bell pepper, cut into 1/2-inch dice/nOne 28-ounce can tomato puree/nThree 15-ounce cans pinto beans, drained/n3/4 cup lager/n1 cup chicken stock or low-sodium broth/n1 tablespoon cider vinegar/n1 teaspoon chopped thyme/nSalt and freshly ground black pepper/nChopped chives, for garnish","Step 1: In a large Dutch oven, heat 1 tablespoon of the oil until shimmering. Add half of the turkey and cook over high heat, undisturbed, until browned on the bottom, about 3 minutes. Stir the turkey and cook until no pink remains, about 2 minutes longer. Transfer the cooked turkey to a bowl and repeat with 1 more tablespoon of oil and the remaining turkey./nStep 2: Add the remaining 2 tablespoons of oil and the onion to the pot. Cook over moderate heat until softened, about 5 minutes. Add the garlic, chile powder, cumin, oregano and chipotle powder and cook, stirring, until fragrant, about 2 minutes. Return the turkey to the pot. Stir in the carrot, bell pepper, tomato puree, beans and lager and bring to a boil. Stir in the stock and vinegar, cover and simmer over low heat for 45 minutes. Add the thyme, season with salt and pepper and serve, garnished with chives./nStep 3: Crisp, malty lager: Blue Point Brewing Company Toasted Lager.",https://www.foodandwine.com/thmb/mF7PDWg8fOWYHuEOtTccEcWlBTs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/201202-xl-turkey-and-pinto-bean-chili-c878d282b3824427be9cca7fcf391044.jpg
spicy-red-lentil-coconut-soup-shrimp-dumplings,,,10,"2 teaspoons fennel seeds/n2 teaspoons cumin seeds/n2 teaspoons coriander seeds/n1/4 cup peanut oil/n3 medium carrots, coarsely shredded/n2 medium red onions, halved lengthwise and thinly sliced crosswise/n1 medium leek, white and tender green parts only, thinly sliced/n4 garlic cloves, minced/n2 teaspoons minced fresh ginger/n1 small fresh red chile, seeded and minced/n5 cups water/n2 3/4 cups unsweetened coconut milk/n6 makrut lime leaves or six 1-inch strips of lime zest/n3/4 cup red lentils/nSalt and freshly ground pepper/n2 small garlic cloves, smashed/n1/4 cup cilantro leaves/n1/4 cup mint leaves/n1 pound large shrimp, shelled and deveined/n1 tablespoon cornstarch/n1 tablespoon plus 2 teaspoons fish sauce, plus more for serving/n1/2 teaspoon sesame oil/n1/4 cup fresh lime juice/n1/2 cup finely chopped cilantro","Step 1: In a small skillet, toast the fennel, cumin and coriander seeds over moderate heat until fragrant, about 2 minutes; let cool. Transfer to a spice grinder and finely grind the spices./nStep 2: In a medium casserole, heat the oil until shimmering. Add the carrots, onions, leek, garlic, ginger and chile and cook over moderately high heat until softened and lightly browned, about 5 minutes. Add the ground spices and cook until fragrant, about 2 minutes longer. Add the water, coconut milk and lime leaves and bring to a boil. Stir in the lentils and simmer over low heat, stirring occasionally, until tender, about 20 minutes. Season with salt and pepper./nStep 3: In a food processor, combine the garlic with the cilantro and mint and pulse until finely chopped. Add the shrimp and pulse until coarsely chopped. Transfer the mixture to a bowl and stir in the cornstarch, 1 tablespoon of fish sauce and the sesame oil. Refrigerate for 30 minutes./nStep 4: Using slightly moistened hands, roll teaspoons of the shrimp mixture into balls and arrange on a plastic wrap-lined plate./nStep 5: Add the shrimp dumplings and the 2 teaspoons of fish sauce to the casserole and simmer just until the dumplings are slightly pink and cooked, about 5 minutes. Remove the lime leaves. Stir in the lime juice and cilantro and serve, passing the fish sauce at the table./nStep 6: The soup can be prepared through Step 2 and refrigerated overnight. The shrimp balls can be refrigerated overnight./nStep 7: This rich, spicy soup demands a dry and fruity white such as a Sauvignon Blanc.",https://www.foodandwine.com/thmb/ufq1QoEo140mcjrT96tCCcCHU5g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/spicy-red-lentil-coconut-soup-with-shrimp-dumplings-xl-r-200201-2000-c2056dfbcb9847658b371fe08286e48a.jpg
minestrone-black-eyed-peas-and-kidney-beans,30 mins,1 hrs 30 mins,6,"3 tablespoons extra-virgin olive oil/n2 ounces pancetta (finely diced)/n1  large onion (finely chopped)/n2  celery ribs (thinly sliced)/n4  garlic cloves (thinly sliced)/n1  leek (white and tender green parts thinly sliced,)/nSalt and freshly ground pepper/n½ pound Savoy or other green cabbage (coarsely shredded)/n14 ounce can diced tomatoes/n1 cup dried black-eyed peas/n2 quarts water/n3  parsley sprigs/n1  bay leaf/n3  thyme sprigs/n15 ounce can red kidney beans (drained and rinsed)/n2 ounces penne/n½ cup shredded basil/n¼ cup plus 2 tablespoons grated Parmigiano-Reggiano cheese","Step 1: In a pot, heat 2 tablespoons of the oil. Add the pancetta, onion, celery, garlic and sliced leek and season with salt and pepper. Cook over moderate heat, until the vegetables are softened, 10 minutes. Add the cabbage and cook until slightly wilted, 1 minute. Add the tomatoes and cook for about 5 minutes. Add the black-eyed peas and water; bring to a boil. Wrap the parsley, bay leaf and thyme in the reserved leek top and secure with kitchen twine. Add to the pot./nStep 2: Cover the pot and simmer over low heat until the black-eyed peas are tender, 45 minutes. Discard the herbs. Add the kidney beans and simmer for 10 minutes longer./nStep 3: Meanwhile, in a pot of boiling salted water, cook the penne until al dente. Drain and cool under running water. Slice the penne crosswise into 1/4-inch rings./nStep 4: In a nonstick skillet, heat the remaining 1 tablespoon of oil. Add the penne in a single layer and cook over moderately high heat, turning once, until golden, 5 minutes. Drain the penne rings on paper towels./nStep 5: Stir the pasta and basil into the soup. Ladle the soup into bowls, sprinkle each with 1 tablespoon of the cheese and serve./nStep 6: One Serving 361 cal, 14 gm fat, 3.5 gm sat fat, 43 gm carb, 11 gm fiber.",https://www.foodandwine.com/thmb/p2cW8sju3nRDq9O-a7rgKRkJahg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/200911-xl-minestrone-with-black-eyed-peas-and-kidney-beans-9fbcf40bdff946e4a045ea1b413eb9c1.jpg
kale-eggplant-and-crispy-tofu-stir-fry-with-black-bean-sauce,20 mins,45 mins,2,"14 ounces medium tofu/n2 tablespoons vegetable oil, divided/n1/4 cup water/n2 tablespoons black bean sauce/n1 teaspoon chili-garlic sauce/n1 teaspoon honey/n1 teaspoon corn starch/n1/4 teaspoon white vinegar/n1 clove of garlic, finely minced/n2 eggplants, cut in half lengthwise then cut into 1-inch slices/n6 kale leaves, ribs removed and torn into bite-sized pieces/nRice or noodles, for serving","Step 1: Place the tofu on a large plate with a small lip to catch water. Put a small plate on top of the tofu and something heavy (like a can of beans) on top of the plate. After 15 minutes discard the water that has drained from the tofu and cut it into 2-inch cubes./nStep 2: Heat 1 tablespoon of the oil in a well-seasoned cast iron pan or non-stick pan over medium high heat. Add the tofu and give the pan a shake so it doesn't stick. Cook for 5-7 minutes, or until the tofu is crispy and brown. Turn each piece over and continue cooking until lightly browned, about 5 more minutes. Add more oil if sticking./nStep 3: In a small bowl whisk together the water, black bean sauce, chili-garlic sauce, honey, white vinegar and garlic. Set aside./nStep 4: Add the remaining tablespoon of oil to a large frying pan or wok over medium high heat. Add the eggplant and cook, stirring frequently, until it is soft, about 8-10 minutes. Add the kale and cook until it just starts to wilt, about 1 minute. Add the crispy tofu and the sauce and cook until the sauce is thick and coats the vegetables, about 30 seconds./nStep 5: Remove from the heat and serve with rice or noodles.",https://www.foodandwine.com/thmb/0R8lL43Z1Y1qI06zC7wltp2SFJw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2014-r-xl-kale-eggplant-and-crispy-tofu-stir-fry-with-a-black-bean-sauce-2000-d89e0b1c8932487ab7ba99046ff278f6.jpg
